NC ADJ;37134
NC PREP NC;24402
NC NC;15010
NC PREP NC ADJ;14506
NC;14287
NP;13509
NC ADJ ADJ;11762
NP NP;8096
NC ADJ PREP NC;7602
NC NP;6759
NC PREP NC PREP NC;5862
NC PREP ART NC;5817
NC PREP ART NC ADJ;4844
NP NC;4204
NC PDEL NC;4035
NC PREP NP;3984
NC PDEL NC ADJ;3851
NC ADJ PREP NC ADJ;3842
NC ADJ PREP ART NC;3606
NP ADJ;3250
NC PREP NC NC;2975
NC NC ADJ;2931
NC PREP NC PREP NC ADJ;2929
NC ADJ PDEL NC;2645
NC PREP NC ADJ ADJ;2401
NC ADJ PREP ART NC ADJ;1928
NC ADJ PDEL NC ADJ;1774
NC ADJ NC;1663
NC PREP NC PREP ART NC;1531
NC PREP NC ADJ NP;1504
NC ADJ ADJ ADJ;1384
NC PREP NC ADJ PREP NC;1382
NC PREP ART NC PREP NC;1285
NC ADJ PREP NC PREP NC;1266
NC PREP NC ADJ PREP NC ADJ;1109
NP NP NP;1094
NC PE NC;1084
NC PREP ART NC ADJ ADJ;1038
NC PREP ART NC NC;1028
NC NC PREP NC;1020
NC PREP ART NC PREP ART NC;1011
NC PDEL NC NC;986
NC PREP NC PDEL NC;980
ADJ NC;967
NC PREP NC NP;956
NC PREP NC PREP NC PREP NC;940
NC PDEL NC ADJ ADJ;916
NC PREP ART NC PDEL NC;884
NP NC ADJ;840
NC DASH NC;779
NC ADJ PREP NC NC;765
NC ADJ ADJ PREP NC;720
NC NC NC;703
NC PREP NC PREP NP;693
NC PREP ADJ NC;691
NC PREP NC PREP ART NC ADJ;680
NC NC DASH NC;633
NC ALFS;625
NC PDEL NC PREP NC;608
NC ADJ PREP NC PREP NC ADJ;595
NC PREP ADJ;594
NP NC NC;584
NC PREP NC ADJ NC;581
NC CARD;568
NC NC CARD;543
NC ADJ ADJ PREP NC ADJ;535
NC ADJ ADJ PDEL NC;521
NC PREP ART NC ADJ PDEL NC;511
NC PREP NC PREP NC PREP NC ADJ;510
NC PE;506
NC NC PREP NC ADJ;506
NC ADJ PREP NC ADJ ADJ;501
NC ADJ PREP ART NC NC;501
NC ADJ ADJ NC;500
NC PDEL NP;498
NC PAL NC;488
NP DASH NP;485
NC PREP NC PREP NC NC;479
ADJ ADJ;476
NC PREP NC NC ADJ;474
NC NC NP;472
NC PREP NC ADJ PREP ART NC;469
NC ADJ ADJ PREP ART NC;469
NC ADJ PAL NC;467
NC CODE;464
NC PREP NC DASH NC;450
NC NC ADJ ADJ;448
NC PDEL NC PREP ART NC;437
NP ADJ NC;435
NC ADJ PREP NP;434
NC PREP NC PDEL NC ADJ;430
NC PREP ART NC ADJ PREP ART NC;426
NC ADJ PDEL NC NC;412
NC PREP NP DASH NP;410
NC NC PDEL NC;406
NC PREP ART NC PREP ART NC ADJ;406
NC ADJ ADJ PDEL NC ADJ;401
NC PREP NC CC NC;399
NC NP NP;379
NC ADJ PREP ART NC ADJ ADJ;377
QU NC ADJ;374
NC PREP NC ADJ PDEL NC;366
NC PDEL NC PDEL NC;358
NC PREP ART NC PREP NC ADJ;350
NC PREP NC ALFS;348
PE NC;348
NC PREP ART NP;346
ADJ PREP NC;344
NC PDEL NC ADJ PDEL NC;343
NC ADJ CARD;343
NC PREP NP NP;342
NC PDEL NC PREP NC ADJ;330
NC ADJ ADJ PREP ART NC ADJ;324
NC ADJ PREP ART NC PREP ART NC;324
NC ADJ PREP ART NC PDEL NC;322
NP NC PE;317
NC PE NC NC;315
NC ADJ PREP NC PREP ART NC;308
NC ADJ PDEL NC ADJ ADJ;305
NC PREP NC PREP NC ADJ ADJ;304
NC PREP NC PREP NC PREP ART NC;303
NC ADJ DASH NC;301
NC ADJ NP;291
PE NC NC;285
NC PREP ART NC PDEL NC ADJ;282
NC PREP NC ADJ PREP NC PREP NC;280
NC NC PREP ART NC;279
NC PREP NP NC;279
NP NC PE NC;276
NC PREP ART ADJ NC;267
NC ADJ PREP NC PDEL NC;266
NC ADJ PREP NC ADJ PREP NC;261
NC CC NC;261
NC NC PDEL NP;257
NC PREP ART NC ADJ PDEL NC ADJ;256
NC NP ADJ;254
NC ADJ PREP ADJ;252
NC PREP NC ADJ PREP ART NC ADJ;251
NP DASH ADJ;244
ADJ NC ADJ;243
NC PREP ART NC DASH NC;240
NC PREP ART ADJ;240
PREP NC;239
NC PREP ART NC NC ADJ;236
NC CC NC ADJ;236
NP DASH NC;234
NC ADJ PREP ART NC PREP NC;232
QU NC PREP NC;229
NC NEG ADJ;226
NC PREP NC CARD;224
NC PREP ART NC ADJ PREP ART NC ADJ;223
NC PDEL NC PREP ART NC ADJ;222
QU NC;222
NC PREP ART NC PREP NP;219
NC PREP NP ADJ;217
NC ADJ PREP ADJ NC;216
NC PREP ART NC NP;214
NC PDEL ADJ;212
NC ADJ CC ADJ;212
NC ADJ PREP NC ADJ PREP NC ADJ;212
NC CC NC PREP NC;210
NC PREP NC PREP ADJ;209
NC PE NC ADJ;208
NC CARD NC;205
NC ADJ NC ADJ;204
NC PE ADJ NC;204
NC NP DASH NP;203
NC PREP NC ADJ PDEL NC ADJ;203
NC ADJ PDEL ADJ;201
NC DASH NC ADJ;199
NP NP PE;197
NC PREP NC PREP NC ADJ PREP NC;194
NP DASH NP NC;193
NC PDEL NC DASH NC;189
NC PDEL NC NC ADJ;188
NC NC PREP NC PREP NC;186
NC PDEL NC ADJ PREP ART NC;185
NC PREP NC ADJ NP ALFS;185
NC ADJ NEG ADJ;184
NC PREP NC NC PREP NC;183
ACRNM;182
NC PDEL NC ADJ PREP NC;180
NC PREP NC PREP ADJ NC;177
NC PDEL NC NP;176
NC PREP NC CODE;175
NC ADJ PREP NC PREP NC PREP NC;174
NC PREP ART NC ADJ PREP NC;172
NC PDEL NC ADJ NC;172
NC PREP NC PREP NC PDEL NC;171
NC ADJ PREP ART ADJ;170
NC NC PDEL NC ADJ;169
NC PREP NC ADJ PREP NC NC;168
ORD NC ADJ;168
NC PE ADJ;165
NC NC PREP ART NC ADJ;164
NP NP NC;161
NP NP NP NP;161
NC PAL NC PREP NC;161
NC PDEL NC PDEL NC ADJ;161
NC PREP NC PREP NC PREP NC PREP NC;161
NC PREP NC PREP ART NC PREP NC;158
NC PREP ART NC ADJ NC;157
NC NC ALFS;155
NC PDEL ORD NC ADJ;153
NC PREP NC PREP NC ADJ PREP NC ADJ;153
NC ADJ PDEL NP;152
NC ADJ PREP ART ORD NC ADJ;151
NC ADJ PREP NC CC NC;151
NP PE NP;150
NC ADJ PREP NC ALFS;149
NC ADJ PREP ART ADJ NC;147
NC PDEL NC PREP NP;146
NP ADJ PREP NC;146
ADJ NC NC;146
NC PDEL ADJ NC;146
NC PREP ADJ ADJ;146
NC ADJ ADJ PREP ART NC ADJ ADJ;145
NC PREP NC ADJ ADJ ADJ;144
NC PREP NC NC PREP NC ADJ;142
QU NC PREP NC ADJ;141
NC ADJ ADJ ADJ ADJ;141
PE PE NC;140
ADJ PREP NC ADJ;137
NC ALFS DASH NP;136
NC PREP NC PREP NC CC NC;135
NC ADJ PREP ART NC ADJ PDEL NC;135
NC PREP ART NC PREP NC PREP NC;135
NC ADJ PDEL NC ADJ PDEL NC;133
NC PREP NC PREP NC ALFS;133
NC NP NC;133
NP NP DASH NC ADJ;131
ADJ ADJ ADJ;130
NC ADJ PREP ART NC ADJ PREP ART NC;129
NC ADJ PREP NC PREP CARD NMEA;127
NC NC PREP NP;127
NC PE NC PE NC;127
NC CC NC PREP NC ADJ;127
ADJ PDEL NC;126
NC PREP NC NC CARD;126
NC PREP NC PREP ART NC NC;126
NC NC ADJ PREP NC;126
NC NP PDEL NC ADJ ADJ ADJ;126
NC ADJ DASH ADJ;126
NC PREP NC ADJ PREP NC PREP NC ADJ;123
ADJ PREP ART NC;122
NC PREP NC CC NC ADJ;122
PREP NC ADJ;122
NP DASH ADJ NC;122
NC ADJ PDEL NC PREP ART NC;121
NC ADJ PREP NC PREP ART NC ADJ;119
NC ADJ PDEL NC PREP NC;118
NC PREP ART NC ADJ PREP NC ADJ;117
NC ADJ ADJ PREP NC ADJ ADJ;114
PREP NC PREP NC;114
NC ADJ PREP ART ADJ NC ADJ;113
NC ALFS ADJ;110
ADJ PREP NC PREP NC;109
NC PREP NC NEG ADJ;108
NC ADJ PREP ART NC PREP ART NC ADJ;106
NC ADJ ADJ PDEL NC NC;106
ADJ ADJ NC;105
NC PREP ART ORD NC ADJ;105
PE NC PE NC;104
NC ADJ PREP NP PREP CARD NMEA;104
NC PREP NC NC DASH NC;104
NC ADJ NC PREP NC;104
NC ADJ PREP QU NC;102
NC PAL NC PREP NC ADJ;101
NC PREP NC PREP NC NP;100
NP NP PE NC;100
NC PREP ART NC PREP ART NC NC;100
NC ADJ PDEL NC PDEL NC;99
NC PREP NC ADJ PREP NC ADJ ADJ;99
NC ADJ PREP NC ADJ PDEL NC;98
NC PREP NC PREP NC PREP NP;98
NC ADJ PREP NC PREP NP;98
PREP NC PREP NC ADJ;97
NC PREP NC ADJ ADJ PREP NC;97
PE NC ADJ;97
NC PREP ADJ NC ADJ;96
NC PREP NC ADJ PREP NP;96
NC ALFS DASH NC;96
NC PREP NC DASH NC ADJ;95
NC ADJ PREP NC ADJ PREP ART NC;94
NC CARD DASH NC;94
NC PDEL NP NC;94
NC PREP NC ADJ ADJ PREP NC ADJ;94
NC PREP NC ADJ ALFS;94
NC PREP ART NC PREP NC PREP ART NC;93
NC ADJ PAL NC PREP NC;93
NC PREP ART ADJ NC ADJ;92
NC ADJ PREP ART NP;91
NC NC PREP NC NC;91
NP PE PE NC;91
NC ALFS ADJ PREP NC ADJ;90
NC PE DASH NC;90
NC PREP ART NC NC DASH NC;90
NC ADJ PREP NC ADJ NC;90
NC NC PDEL NC ADJ ADJ ADJ;89
ADJ NC PREP NC;89
NC PAL NC ADJ;89
NC PDEL NC ADJ PREP ART NC ADJ;89
NC PREP QU NC;88
NC PREP NC PREP ART NC PDEL NC;88
NC ADJ PREP ART NC PREP NC ADJ;87
CARD DASH NC;87
NC PREP NC PREP NC PREP ART NC ADJ;87
NC ADJ PREP NC PREP NC NC;87
NC PDEL NC ADJ ADJ ADJ;86
QU NC PREP ART NC;86
NC ADJ ADJ PREP NC PREP NC;86
NC PDEL NC ADJ PDEL NC ADJ;84
NC ALFS ADJ PREP NC NC;84
NP DASH NC ADJ;83
NC PREP ADJ NC PREP NC;83
NC CARD PREP ART NC;83
NC PREP NC ADJ DASH NC;83
NC PREP NC PDEL NP;83
NC ADJ PREP NC PDEL NC ADJ;82
NC ADJ PREP NC PREP ADJ;82
NC ADJ NC CARD;82
QU NC ADJ ADJ;82
NP DASH NP NC ADJ;82
NC ADJ ADJ PREP ART NC PREP ART NC;82
NP NP NP PE;81
NC PREP NC PREP ART NC ADJ ADJ;81
NC ADJ PREP ART ORD NC;81
NC CC NC PREP NC PREP NC;81
NC ADJ PREP NC NP;80
NC PREP ART NC ADJ PDEL NC NC;80
NC ALFS ADJ PREP NC;80
NC PREP NC PE DASH NP CARD NC;80
NC PREP ART NC NC PDEL NC;80
ADJ NP;79
NC ADJ PREP ART NC NC ADJ;79
NC PREP ART NC ALFS;79
NC ADJ ADJ PREP ART NC PDEL NC;79
NC NC ADJ PREP ART NC;79
NC PREP;79
NP DASH CARD;78
NC PREP NC ADJ PREP NC PDEL NC;78
NC CC NC PDEL NC;78
NC PDEL NC ADJ PREP NC ADJ;78
