NC ADJ;37134
NC PREP NC;24402
NC NC;15010
NC PREP NC ADJ;14506
NC;14287
NP;13509
NC ADJ ADJ;11762
VLfin;11143
NP NP;8096
NC ADJ PREP NC;7602
NC NP;6759
NC PREP NC PREP NC;5862
NC PREP ART NC;5817
ADJ;5372
VLfin NC;5214
NP VLfin;5082
NC PREP ART NC ADJ;4844
VLfin ADJ;4264
NP NC;4204
NC PDEL NC;4035
NC PREP NP;3984
NC PDEL NC ADJ;3851
NC ADJ PREP NC ADJ;3842
NC ADJ PREP ART NC;3606
NP ADJ;3250
NC VLfin;3128
NC PREP NC NC;2975
NC NC ADJ;2931
NC PREP NC PREP NC ADJ;2929
NC ADJ PDEL NC;2645
NC VLadj;2543
NC PREP NC ADJ ADJ;2401
NC ADJ PREP ART NC ADJ;1928
VLfin PREP NC;1838
NC ADJ PDEL NC ADJ;1774
NC ADJ NC;1663
VLfin NC ADJ;1619
NC PREP NC PREP ART NC;1531
NC PREP NC ADJ NP;1504
NC ADJ ADJ ADJ;1384
NC PREP NC ADJ PREP NC;1382
VLfin PREP NC ADJ;1352
NC PREP ART NC PREP NC;1285
NC ADJ PREP NC PREP NC;1266
NC ADJ VLadj;1240
NC PREP NC VLadj;1212
VLfin ADJ NC;1133
VLfin PREP ART NC;1109
NC PREP NC ADJ PREP NC ADJ;1109
NP NP NP;1094
NC PE NC;1084
VLfin PREP ART NC ADJ;1048
NC PREP ART NC ADJ ADJ;1038
NC PREP ART NC NC;1028
NC NC PREP NC;1020
NC PREP ART NC PREP ART NC;1011
NC PDEL NC NC;986
NC PREP NC PDEL NC;980
ADJ NC;967
NC PREP NC NP;956
NC PREP NC PREP NC PREP NC;940
NC PDEL NC ADJ ADJ;916
NC PREP ART NC PDEL NC;884
VLadj PREP NC;845
NP NC ADJ;840
NC VLinf;839
VLfin VLadj;793
NC DASH NC;779
VLadj;777
NC ADJ PREP NC NC;765
NC ADJ ADJ PREP NC;720
NC NC NC;703
NC PREP NC PREP NP;693
NC PREP ADJ NC;691
NC PREP NC PREP ART NC ADJ;680
NP VLfin NC;664
NC NC DASH NC;633
NC ALFS;625
NC VLadj PREP NC;620
NC PDEL NC PREP NC;608
NC ADJ PREP NC PREP NC ADJ;595
NC PREP ADJ;594
NP NC NC;584
NC PREP NC ADJ NC;581
NC NC VLadj;578
NC CARD;568
NC NC CARD;543
NC ADJ ADJ PREP NC ADJ;535
NC VLadj PREP ART NC;532
NC PREP VLfin;527
VLfin PDEL NC;525
NC ADJ ADJ PDEL NC;521
NC PREP ART NC ADJ PDEL NC;511
NC PREP NC PREP NC PREP NC ADJ;510
NC PE;506
NC NC PREP NC ADJ;506
NC ADJ PREP NC ADJ ADJ;501
NC ADJ PREP ART NC NC;501
NC ADJ ADJ NC;500
NC PDEL NP;498
NC PAL NC;488
NP DASH NP;485
NC PREP NC VLfin;483
NC PREP NC PREP NC NC;479
ADJ ADJ;476
NC PREP NC NC ADJ;474
NC NC NP;472
NC PREP NC ADJ PREP ART NC;469
NC ADJ ADJ PREP ART NC;469
NC ADJ VLfin;467
NC ADJ PAL NC;467
NC CODE;464
NC PREP NC DASH NC;450
NC NC ADJ ADJ;448
NC ADJ PREP VLfin;447
VLfin NC PREP NC;442
VLfin NC NC;440
NC PDEL NC PREP ART NC;437
NP ADJ NC;435
NC ADJ PREP NP;434
NC PREP NC PDEL NC ADJ;430
NC PREP ART NC ADJ PREP ART NC;426
NC ADJ PDEL NC NC;412
VLfin VLadj PREP NC;411
NC PREP NP DASH NP;410
NC NC PDEL NC;406
NC PREP ART NC PREP ART NC ADJ;406
NC ADJ ADJ PDEL NC ADJ;401
NC PREP NC CC NC;399
VLfin PDEL NC ADJ;397
NC ADJ VLadj PREP NC;389
NC VLadj PREP NC ADJ;388
NC NP NP;379
NC ADJ PREP ART NC ADJ ADJ;377
QU NC ADJ;374
NC PREP NC ADJ PDEL NC;366
NC VLadj PREP ART NC ADJ;363
VLfin PREP NC PREP NC;362
VLadj PREP NP;359
NC PDEL NC PDEL NC;358
NC PREP NC PREP VLfin;354
NC VLfin NC;351
NC PREP ART NC PREP NC ADJ;350
NC PREP NC ALFS;348
PE NC;348
NC PREP ART NP;346
VLadj PREP NC ADJ;345
ADJ PREP NC;344
NC PREP NC ADJ VLadj;343
NC PDEL NC ADJ PDEL NC;343
NC ADJ CARD;343
NC PREP NP NP;342
VLfin VLinf;342
VLfin PREP NP;337
NC PDEL NC PREP NC ADJ;330
NP NP VLfin;326
NC VLfin ADJ;325
NC ADJ ADJ PREP ART NC ADJ;324
NC ADJ PREP ART NC PREP ART NC;324
NC ADJ PREP ART NC PDEL NC;322
NP NC PE;317
NC PE NC NC;315
NC NC VLfin;313
NC ADJ PREP NC PREP ART NC;308
NC ADJ PDEL NC ADJ ADJ;305
NC PREP NC PREP NC ADJ ADJ;304
NC PREP NC PREP NC PREP ART NC;303
NC ADJ DASH NC;301
NC ADJ ADJ VLadj;297
VLadj ADJ;294
NC ADJ NP;291
NC PREP VLfin ADJ;290
VLfin PREP ART NC PREP NC;289
PE NC NC;285
NC PREP ART NC PDEL NC ADJ;282
NC PREP NC ADJ PREP NC PREP NC;280
NC CSUBI VLinf ART NC;280
NC ADJ NEG VLadj;280
NC NC PREP ART NC;279
NC PREP NP NC;279
NC PE VLfin;276
NP NC PE NC;276
VLfin NC PREP NC ADJ;271
NC PREP ART ADJ NC;267
NC ADJ PREP NC PDEL NC;266
NC ADJ PREP NC ADJ PREP NC;261
NC CC NC;261
NC PREP ART VLfin;260
NC NC PDEL NP;257
NC PREP ART NC ADJ PDEL NC ADJ;256
NC NP ADJ;254
NC ADJ PREP NC VLadj;253
NC ADJ PREP ADJ;252
NC PREP NC ADJ PREP ART NC ADJ;251
VLfin NC PE;251
VLfin PREP NC NC;245
NP DASH ADJ;244
NC VLadj PREP NC PREP NC;243
ADJ NC ADJ;243
NC PREP ART NC DASH NC;240
NC PREP NC VLadj PREP NC;240
NC PREP ART ADJ;240
PREP NC;239
NC PREP ART NC NC ADJ;236
NC CC NC ADJ;236
VLfin PREP ART NC NC;235
VLfin PREP NC PREP NC ADJ;234
NP DASH NC;234
NC ADJ PREP ART NC PREP NC;232
VLfin PREP ART NC PREP ART NC;232
NP PE VLfin;231
QU NC PREP NC;229
VLfin VLadj PREP NC ADJ;229
NC ADJ PREP ART VLfin;226
NC NEG ADJ;226
VLfin VLadj PREP NC PREP NC;226
NC PREP NC CARD;224
NC PREP ART NC ADJ PREP ART NC ADJ;223
NC PDEL NC PREP ART NC ADJ;222
QU NC;222
NC PDEL NC VLadj;222
VLfin ADJ PREP NC;222
NC PREP ART NC PREP NP;219
VLadj PREP NC PREP NC;219
NC NEG VLadj;218
ADJ CSUBI VLinf ART NC;218
NC PREP NP ADJ;217
NC ADJ PREP ADJ NC;216
NC PREP ART NC NP;214
NC VLadj PREP ART NC PREP ART NC;213
ADV;213
NC PDEL ADJ;212
NC ADJ CC ADJ;212
NC ADJ PREP NC ADJ PREP NC ADJ;212
NC CC NC PREP NC;210
NC PREP NC PREP ADJ;209
NC PE NC ADJ;208
NP VLfin NC NC;206
NC CARD NC;205
NC ADJ NC ADJ;204
NC PE ADJ NC;204
NC NP DASH NP;203
NC PREP NC ADJ PDEL NC ADJ;203
NP DASH NP VLfin;203
NC ADJ PDEL ADJ;201
NC DASH NC ADJ;199
NP NP PE;197
NC PREP NC PREP NC VLadj;196
NP DASH VLfin;195
VLfin PREP VLfin;195
NC PREP NC PREP NC ADJ PREP NC;194
VLfin PREP ART NC PDEL NC;193
NP DASH NP NC;193
NP VLfin PE;191
NC PDEL NC DASH NC;189
NC PDEL NC NC ADJ;188
NC NC PREP NC PREP NC;186
NC PDEL NC ADJ PREP ART NC;185
NC PREP NC ADJ NP ALFS;185
NC ADJ NEG ADJ;184
NC PREP NC NC PREP NC;183
ACRNM;182
VLfin DASH NC;182
VLadj PREP ART NC;181
NC VLinf NC;180
NP NP PE VLfin;180
NC CSUBI VLinf NC;180
NC PDEL NC ADJ PREP NC;180
NC ADJ VLadj PREP NC ADJ;178
NC PREP NC PREP ADJ NC;177
NC PDEL NC NP;176
NC PREP NC CODE;175
NC VLadj ADJ;175
NC ADJ PREP NC PREP NC PREP NC;174
NC PREP ART NC ADJ PREP NC;172
NP VLfin VLadj;172
NC PDEL NC ADJ NC;172
NC PREP NC PREP NC PDEL NC;171
NC ADJ PREP ART ADJ;170
NC PREP NC ADJ VLfin;169
NC NC PDEL NC ADJ;169
NC PREP NC ADJ PREP NC NC;168
ORD NC ADJ;168
NC PE ADJ;165
NC VLadj PREP ART NC PDEL NC;165
NC NC PREP ART NC ADJ;164
NP NP NC;161
NP NP NP NP;161
NC PAL NC PREP NC;161
NC PDEL NC PDEL NC ADJ;161
NC PREP NC PREP NC PREP NC PREP NC;161
NC PREP NC PREP ART NC PREP NC;158
NC VLadj PREP ART NC PREP NC;158
VLfin NP;157
NC PREP ART NC ADJ NC;157
VLfin NC VLadj;156
NC NC ALFS;155
NC PDEL ORD NC ADJ;153
NC PREP NC PREP NC ADJ PREP NC ADJ;153
NC ADJ PDEL NP;152
NC ADJ PREP ART ORD NC ADJ;151
NC ADJ PREP NC CC NC;151
NP PE NP;150
NC ADJ PREP NC ALFS;149
VLfin PREP NC ADJ ADJ;149
NC PREP NP VLfin;148
NC PREP ART NC VLadj;147
NC ADJ PREP ART ADJ NC;147
NC PDEL NC PREP NP;146
NP ADJ PREP NC;146
ADJ NC NC;146
NC PDEL ADJ NC;146
NC PREP ADJ ADJ;146
NP VLfin PE NC;145
NC ADJ ADJ PREP ART NC ADJ ADJ;145
NC PREP VLadj;145
NC PREP NC ADJ ADJ ADJ;144
NC CSUBI VLinf;143
NC PREP NC NC PREP NC ADJ;142
NC PREP NC NEG VLadj;142
VLadj PREP ART NC PREP NC;142
QU NC PREP NC ADJ;141
NC ADJ ADJ ADJ ADJ;141
PE PE NC;140
NC ADJ VLadj PREP ART NC;139
VLfin NC PREP ART NC;139
NC VLfin PREP NC;138
ADJ PREP NC ADJ;137
VLfin ADV;137
ADJ CSUBI VLinf NC;137
QU NC ADJ VLadj;136
VLfin PREP ART NC PREP NC ADJ;136
NC ALFS DASH NP;136
VLfin NC PDEL NC;135
NC PREP NC PREP NC CC NC;135
NC ADJ PREP ART NC ADJ PDEL NC;135
VLfin NC PE NC;135
NC PREP ART NC PREP NC PREP NC;135
NC PDEL VLfin;134
NC ADJ PDEL NC ADJ PDEL NC;133
VLfin PREP ART NC ADJ ADJ;133
NC PREP NC PREP NC ALFS;133
NC VLinf ADJ;133
NC NP NC;133
NC DASH NC VLfin;131
VLfin NC ADJ ADJ;131
NP NP DASH NC ADJ;131
ADJ ADJ ADJ;130
NC ADJ PREP ART NC ADJ PREP ART NC;129
NP VLfin ADJ;129
VLfin ADJ PREP NC ADJ;128
VLfin PREP NC PREP ART NC;128
NC ADJ PREP NC PREP CARD NMEA;127
NC NC PREP NP;127
NC PE NC PE NC;127
NC CC NC PREP NC ADJ;127
ADV ADJ;127
ADJ PDEL NC;126
NC PREP VLfin PREP NC;126
NC PREP NC NC CARD;126
NC PREP NC PREP ART NC NC;126
NC NC ADJ PREP NC;126
NC NP PDEL NC ADJ ADJ ADJ;126
NP VLfin NC ADJ;126
NC ADJ DASH ADJ;126
VLfin ART NC;123
NC PREP NC ADJ PREP NC PREP NC ADJ;123
ADJ PREP ART NC;122
